iso3,year,event_date,source,admin1,admin2,location,event_type,sub_event_type,interaction,fatalities,timestamp,latitude,longitude,geo_precision,time_precision
ZWE,2021,2021-05-26,Bulawayo24,Midlands,Mberengwa,Mberengwa,Protests,Peaceful protest,60,0,1623100970,-20.4833,29.9167,1,1
ZWE,2021,2021-05-25,Bulawayo24,Midlands,Mberengwa,Mberengwa,Protests,Peaceful protest,60,0,1623100970,-20.4833,29.9167,1,1
ZWE,2021,2021-05-24,Bulawayo24,Midlands,Mberengwa,Mberengwa,Protests,Peaceful protest,60,0,1623100970,-20.4833,29.9167,1,1
ZWE,2021,2021-05-21,Bulawayo24; Zim Eye,Bulawayo,Bulawayo,Bulawayo,Riots,Mob violence,57,1,1622493898,-20.15,28.58,1,1
ZWE,2021,2021-05-21,Zim Eye; Bulawayo24,Mashonaland Central,Mazowe,Mazowe,Riots,Mob violence,57,1,1622493898,-17.5166,30.9667,1,1
ZWE,2021,2021-05-20,Chronicle (Zimbabwe),Bulawayo,Bulawayo,Bulawayo,Riots,Mob violence,57,0,1622493899,-20.15,28.58,1,1
ZWE,2021,2021-05-12,Bulawayo24; Zim Eye,Manicaland,Mutare Urban,Dangamvura,Riots,Mob violence,57,0,1621889044,-19,32.58,1,1
ZWE,2021,2021-05-08,New Zimbabwe,Mashonaland West,Chinhoyi Urban,Chinhoyi,Riots,Mob violence,55,0,1621889045,-17.3666,30.2,1,1
ZWE,2021,2021-04-23,Zim Eye,Masvingo,Masvingo Urban,Masvingo,Protests,Protest with intervention,16,0,1619476354,-20.0833,30.8333,1,1
ZWE,2021,2021-04-22,Bulawayo24,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1634586992,-17.8277,31.0534,1,1
ZWE,2021,2021-04-17,Bulawayo24,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1635809741,-17.8277,31.0534,1,2
ZWE,2021,2021-04-14,Bulawayo24,Matabeleland North,Hwange Urban,Hwange,Protests,Peaceful protest,60,0,1619476352,-18.3693,26.5019,1,1
ZWE,2021,2021-04-06,Zim Eye; Bulawayo24,Harare,Harare Urban,Harare,Riots,Violent demonstration,15,0,1635809741,-17.8277,31.0534,1,1
ZWE,2021,2021-04-06,Bulawayo24; Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Sexual violence,17,0,1638981219,-17.8277,31.0534,1,2
ZWE,2021,2021-04-01,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597721,-17.8277,31.0534,1,1
ZWE,2021,2021-03-15,Bulawayo24,Matabeleland North,Umguza,Ntabazinduna,Riots,Mob violence,15,0,1618597721,-20.0166,28.85,1,1
ZWE,2021,2021-03-15,Bulawayo24,Harare,Chitungwiza,Chitungwiza,Riots,Mob violence,57,1,1618597721,-18.0127,31.0756,1,1
ZWE,2021,2021-03-10,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Riots,Violent demonstration,15,0,1618597721,-20.15,28.58,1,2
ZWE,2021,2021-02-26,Bulawayo24,Manicaland,Chipinge Urban,Chipinge,Violence against civilians,Attack,17,1,1618597721,-20.2,32.6167,2,1
ZWE,2021,2021-02-26,HRW,Masvingo,Chiredzi Urban,Chiredzi,Strategic developments,Other,17,0,1618597721,-21.05,31.6667,1,1
ZWE,2021,2021-02-25,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1635809741,-17.8277,31.0534,1,1
ZWE,2021,2021-02-15,Bulawayo24,Mashonaland Central,Guruve,Guruve,Riots,Mob violence,57,1,1618597721,-16.6666,30.7,2,3
ZWE,2021,2021-02-01,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1635809741,-17.8277,31.0534,1,1
ZWE,2021,2021-01-16,Bulawayo24,Midlands,Gweru Urban,Gweru,Violence against civilians,Attack,17,1,1618597721,-19.45,29.82,1,1
ZWE,2021,2021-01-08,263chat ZW,Midlands,Kwekwe Urban,Kwekwe,Riots,Mob violence,15,0,1643045661,-18.9166,29.8167,1,1
ZWE,2021,2021-01-05,Bulawayo24,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597721,-17.8277,31.0534,1,1
ZWE,2020,2020-12-29,Bulawayo24,Matabeleland South,Beitbridge Urban,Beitbridge,Violence against civilians,Attack,17,1,1618597721,-22.2167,29.9833,1,2
ZWE,2020,2020-12-25,Bulawayo24; Zimbabwean,Bulawayo,Bulawayo,Nkulumane,Violence against civilians,Attack,17,0,1618597721,-20.185,28.5169,1,1
ZWE,2020,2020-12-18,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597721,-20.15,28.58,1,1
ZWE,2020,2020-12-17,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597721,-20.15,28.58,1,1
ZWE,2020,2020-12-13,Bulawayo24,Harare,Harare Urban,Harare,Violence against civilians,Sexual violence,17,0,1618597721,-17.8277,31.0534,2,1
ZWE,2020,2020-12-13,Zim Eye,Mashonaland West,Chegutu,Mhondoro,Riots,Mob violence,57,0,1638981219,-18.45,30.6167,1,1
ZWE,2020,2020-12-11,Bulawayo24,Masvingo,Masvingo Urban,Masvingo,Protests,Protest with intervention,16,0,1618597721,-20.0833,30.8333,1,1
ZWE,2020,2020-12-07,Bulawayo24,Manicaland,Mutare Urban,Mutare,Riots,Violent demonstration,57,0,1618597721,-18.9707,32.6709,2,1
ZWE,2020,2020-12-05,Bulawayo24,Masvingo,Zaka,Zaka,Violence against civilians,Attack,17,0,1618597721,-20.35,31.45,1,1
ZWE,2020,2020-12-05,Bulawayo24,Manicaland,Mutare Urban,Mutare,Riots,Violent demonstration,50,0,1618597721,-18.9707,32.6709,1,1
ZWE,2020,2020-11-30,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597721,-20.15,28.58,1,1
ZWE,2020,2020-11-27,Bulawayo24; New Zimbabwe,Midlands,Kwekwe Urban,Kwekwe,Protests,Peaceful protest,60,0,1618597721,-18.9166,29.8167,1,1
ZWE,2020,2020-11-14,Bulawayo24; Zimbabwe Standard,Manicaland,Nyanga,Nyanga,Violence against civilians,Attack,17,1,1618597722,-18.2166,32.75,1,2
ZWE,2020,2020-11-02,Zimbabwe Standard; New Zimbabwe,Mashonaland West,Chinhoyi Urban,Chinhoyi,Riots,Mob violence,58,1,1618597722,-17.3666,30.2,1,1
ZWE,2020,2020-10-30,Bulawayo24,Midlands,Gweru Urban,Gweru,Riots,Mob violence,15,0,1618597722,-19.45,29.82,2,2
ZWE,2020,2020-10-30,Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,2,1
ZWE,2020,2020-10-28,Bulawayo24,Harare,Harare Urban,Harare,Violence against civilians,Attack,37,0,1618597722,-17.8277,31.0534,2,2
ZWE,2020,2020-10-18,Eye Radio (South Sudan),Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,1,2
ZWE,2020,2020-10-17,Sunday Mail (Zimbabwe),Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-10-15,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-10-12,Zimbabwean; Zim Eye; 263chat ZW,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-10-11,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1635809741,-20.15,28.58,1,1
ZWE,2020,2020-10-04,Bulawayo24,Midlands,Kwekwe Urban,Kwekwe,Riots,Violent demonstration,55,0,1618597722,-18.9166,29.8167,1,1
ZWE,2020,2020-10-04,Bulawayo24,Midlands,Kwekwe Urban,Kwekwe,Battles,Armed clash,13,0,1618597722,-18.9166,29.8167,1,1
ZWE,2020,2020-10-01,Bulawayo24,Matabeleland North,Victoria Falls,Victoria Falls,Riots,Mob violence,57,0,1618597722,-17.9333,25.8333,2,1
ZWE,2020,2020-10-01,Bulawayo24; GardaWorld,Harare,Harare Urban,Harare,Riots,Violent demonstration,58,1,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-28,Bulawayo24,Harare,Harare Urban,Harare,Riots,Mob violence,55,0,1635809741,-17.8277,31.0534,1,2
ZWE,2020,2020-09-26,Bulawayo24,Midlands,Kwekwe Urban,Kwekwe,Riots,Mob violence,55,0,1634586992,-18.9166,29.8167,1,1
ZWE,2020,2020-09-18,Bulawayo24; Zim Eye,Harare,Harare Urban,Harare,Riots,Mob violence,57,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-18,Zim Eye,Masvingo,Mwenezi,Mwenezi,Riots,Mob violence,57,1,1618597722,-21.4166,30.7333,1,1
ZWE,2020,2020-09-14,Zimbabwean,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-14,Bulawayo24; Zim Eye,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-11,Zim Eye,Midlands,Kwekwe Urban,Kwekwe,Riots,Mob violence,57,1,1618597722,-18.9166,29.8167,1,1
ZWE,2020,2020-09-11,Zim Eye,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-11,Zim Eye,Bulawayo,Bulawayo,Bulawayo,Riots,Mob violence,57,0,1618597722,-20.15,28.58,1,2
ZWE,2020,2020-09-11,Chronicle (Zimbabwe),Manicaland,Mutare Urban,Dangamvura,Riots,Mob violence,57,0,1618597722,-19,32.58,2,2
ZWE,2020,2020-09-09,Bulawayo24; Zim Eye,Mashonaland East,Chikomba,Chivhu,Battles,Armed clash,13,2,1618597722,-19.0211,30.8922,2,2
ZWE,2020,2020-09-09,Chronicle (Zimbabwe); Zim Eye,Matabeleland South,Insiza,Filabusi,Riots,Mob violence,57,1,1618597722,-20.5333,29.2833,1,1
ZWE,2020,2020-09-08,New Zimbabwe,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-05,Bulawayo24; Zim Eye,Mashonaland East,Chikomba,Chivhu,Battles,Armed clash,13,2,1618597722,-19.0211,30.8922,1,1
ZWE,2020,2020-09-04,Zim Eye,Matabeleland North,Umguza,Nyamandlovu,Explosions/Remote violence,Grenade,37,2,1618597722,-19.8579,28.2703,1,1
ZWE,2020,2020-09-02,Zim Eye; Zimbabwean,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-09-01,Bulawayo24,Manicaland,Chimanimani,Chimanimani,Riots,Mob violence,57,1,1638981220,-19.8,32.8667,2,2
ZWE,2020,2020-08-27,Zim Eye,Mashonaland West,Karoi Urban,Karoi,Protests,Peaceful protest,60,0,1618597722,-16.8166,29.6833,1,1
ZWE,2020,2020-08-24,Zim Eye; Bulawayo24,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597722,-17.8277,31.0534,1,1
ZWE,2020,2020-08-22,Chronicle (Zimbabwe); Zim Eye,Matabeleland North,Hwange Urban,Hwange,Violence against civilians,Attack,17,0,1618597722,-18.3693,26.5019,1,1
ZWE,2020,2020-08-14,New Zimbabwe,Mashonaland West,Chinhoyi Urban,Chinhoyi,Riots,Mob violence,57,1,1618597723,-17.3666,30.2,2,2
ZWE,2020,2020-08-08,Harare Live,Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Sexual violence,17,0,1638981220,-20.15,28.58,1,1
ZWE,2020,2020-08-01,Bulawayo24; Zim Eye; HRW,Harare,Harare Urban,Harare,Violence against civilians,Sexual violence,17,0,1638981220,-17.8277,31.0534,1,1
ZWE,2020,2020-07-31,AP,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-07-31,Zimbabwe Standard,Matabeleland South,Gwanda Urban,Gwanda,Violence against civilians,Abduction/forced disappearance,37,0,1635809742,-20.9333,29,1,1
ZWE,2020,2020-07-30,HRW; New Zimbabwe; Zim Eye,Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Attack,17,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-07-26,Zim Eye,Masvingo,Gutu,Mupandawana,Violence against civilians,Attack,17,0,1618597723,-19.6389,31.1707,1,1
ZWE,2020,2020-07-23,Zim Eye,Mashonaland Central,Bindura Urban,Bindura,Violence against civilians,Attack,17,1,1618597723,-17.2964,31.3297,2,1
ZWE,2020,2020-07-23,Zimbabwe Standard,Matabeleland South,Gwanda Urban,Gwanda,Riots,Mob violence,57,1,1635809742,-20.9333,29,1,1
ZWE,2020,2020-07-20,Bulawayo24; New Zimbabwe; HRW; ProtectDefenders.eu,Harare,Harare Urban,Harare,Strategic developments,Arrests,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-07-15,Zim Eye,Matabeleland South,Plumtree,Plumtree,Riots,Mob violence,57,1,1618597723,-20.4833,27.8167,1,1
ZWE,2020,2020-07-15,Bulawayo24,Mashonaland Central,Bindura Urban,Bindura,Riots,Mob violence,57,0,1618597723,-17.2964,31.3297,1,1
ZWE,2020,2020-07-14,Bulawayo24,Harare,Harare Urban,Harare,Riots,Mob violence,55,0,1643672657,-17.8277,31.0534,1,1
ZWE,2020,2020-07-13,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-07-07,Zim Eye,Harare,Chitungwiza,Chitungwiza,Violence against civilians,Attack,17,0,1618597723,-18.0127,31.0756,1,1
ZWE,2020,2020-07-06,Zim Eye,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-07-06,Zim Eye; New Zimbabwe; Zimbabwean; Bulawayo24; 263chat ZW,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-07-05,Zim Eye,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,2
ZWE,2020,2020-07-04,Zim Eye,Mashonaland East,Chikomba,Chivhu,Violence against civilians,Attack,17,0,1618597723,-19.0211,30.8922,1,2
ZWE,2020,2020-07-03,Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-07-03,Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,1,2
ZWE,2020,2020-07-02,New Zimbabwe,Harare,Harare Urban,Mbare,Protests,Peaceful protest,60,0,1643672658,-17.8581,31.0372,1,1
ZWE,2020,2020-06-27,Zim Eye; My Zimbabwe,Mashonaland East,Goromonzi,Goromonzi,Protests,Peaceful protest,60,0,1618597723,-17.85,31.3833,1,1
ZWE,2020,2020-06-27,Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,2,2
ZWE,2020,2020-06-27,My Zimbabwe,Mashonaland West,Norton,Norton,Violence against civilians,Attack,17,0,1618597723,-17.8833,30.7,1,1
ZWE,2020,2020-06-25,Zim Eye,Harare,Harare Urban,Warren Park,Violence against civilians,Attack,17,0,1618597723,-17.8303,30.9822,1,1
ZWE,2020,2020-06-24,Zim Eye,Harare,Harare Urban,Warren Park,Violence against civilians,Attack,17,0,1618597723,-17.8303,30.9822,1,1
ZWE,2020,2020-06-22,Bulawayo24; 263chat ZW,Masvingo,Masvingo Urban,Masvingo,Protests,Protest with intervention,16,0,1618597723,-20.0833,30.8333,1,1
ZWE,2020,2020-06-19,Zim Eye; Bulawayo24,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-06-19,Bulawayo24; Zim Eye,Manicaland,Mutare Urban,Mutare,Protests,Protest with intervention,16,0,1618597723,-18.9707,32.6709,1,1
ZWE,2020,2020-06-19,Zim Eye,Midlands,Gweru Urban,Gweru,Protests,Peaceful protest,60,0,1618597723,-19.45,29.82,1,1
ZWE,2020,2020-06-18,Bulawayo24,Harare,Harare Urban,Harare,Riots,Mob violence,55,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-06-18,Bulawayo24; Zim Eye,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-06-17,Zimbabwean; New Zimbabwe; 263chat ZW; Bulawayo24; Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-06-14,Zim Eye,Mashonaland Central,Mazowe,Mazowe,Riots,Mob violence,55,0,1618597723,-17.5166,30.9667,1,1
ZWE,2020,2020-06-13,Zim Eye,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,2
ZWE,2020,2020-06-12,Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1643672658,-17.8277,31.0534,1,1
ZWE,2020,2020-06-10,Zimbabwean,Harare,Harare Urban,Harare,Strategic developments,Arrests,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-06-08,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Strategic developments,Looting/property destruction,37,0,1618597723,-20.15,28.58,1,2
ZWE,2020,2020-06-07,Bulawayo24,Matabeleland South,Gwanda Urban,Gwanda,Riots,Mob violence,57,0,1618597723,-20.9333,29,1,1
ZWE,2020,2020-06-06,Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-06-04,263chat ZW,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1635809741,-17.8277,31.0534,1,1
ZWE,2020,2020-06-03,Bulawayo24,Masvingo,Chiredzi Urban,Chiredzi,Protests,Peaceful protest,60,0,1618597723,-21.05,31.6667,1,1
ZWE,2020,2020-06-02,Bulawayo24,Harare,Harare Urban,Highfield,Protests,Peaceful protest,60,0,1618597723,-17.8858,30.9919,1,1
ZWE,2020,2020-05-30,Zimbabwe Standard; Bulawayo24; Zim Eye,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-05-30,Bulawayo24; Zim Eye; Zimbabwe Standard,Masvingo,Masvingo Urban,Masvingo,Protests,Protest with intervention,16,0,1618597723,-20.0833,30.8333,1,1
ZWE,2020,2020-05-28,Bulawayo24,Mashonaland West,Chinhoyi Urban,Chinhoyi,Violence against civilians,Attack,17,0,1618597723,-17.3666,30.2,1,1
ZWE,2020,2020-05-24,Zim Eye,Mashonaland East,Chikomba,Chivhu,Battles,Armed clash,11,0,1618597723,-19.0211,30.8922,1,1
ZWE,2020,2020-05-23,Zim Eye,Mashonaland East,Chikomba,Chivhu,Violence against civilians,Attack,17,0,1618597723,-19.0211,30.8922,1,1
ZWE,2020,2020-05-23,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-05-16,Manica Post,Manicaland,Mutare Urban,Mutare,Riots,Mob violence,57,0,1618597723,-18.9707,32.6709,1,1
ZWE,2020,2020-05-16,Bulawayo24,Matabeleland South,Beitbridge Urban,Beitbridge,Violence against civilians,Attack,17,0,1618597723,-22.2167,29.9833,1,1
ZWE,2020,2020-05-16,Newsday (Zimbabwe); Bulawayo24,Mashonaland East,Goromonzi,Domboshava,Violence against civilians,Attack,17,0,1638981220,-17.6086,31.1751,1,1
ZWE,2020,2020-05-14,New Zimbabwe,Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Attack,17,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-05-14,Times (South Africa); Zimbabwean; Chronicle (Zimbabwe); New Zimbabwe; Bulawayo24; Zimbabwe Standard,Harare,Harare Urban,Harare,Violence against civilians,Sexual violence,17,0,1638981220,-17.8277,31.0534,2,1
ZWE,2020,2020-05-13,Zim Eye; Bulawayo24; 263chat ZW,Harare,Harare Urban,Harare,Protests,Protest with intervention,16,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-30,Newsday (Zimbabwe),Matabeleland South,Beitbridge Urban,Beitbridge,Protests,Protest with intervention,16,0,1618597723,-22.2167,29.9833,1,2
ZWE,2020,2020-04-24,Daily Nation (Kenya),Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,2
ZWE,2020,2020-04-24,Zim Eye,Masvingo,Masvingo Urban,Masvingo,Violence against civilians,Attack,17,0,1618597723,-20.0833,30.8333,2,1
ZWE,2020,2020-04-22,Zim Eye; Bulawayo24,Mashonaland Central,Bindura Urban,Bindura,Violence against civilians,Attack,17,0,1618597723,-17.2964,31.3297,1,1
ZWE,2020,2020-04-16,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Attack,17,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-04-16,Zim Eye; Chronicle (Zimbabwe),Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Attack,17,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-04-14,Zim Eye,Masvingo,Masvingo Urban,Masvingo,Violence against civilians,Attack,17,0,1618597723,-20.0833,30.8333,1,1
ZWE,2020,2020-04-12,Zim Eye,Mashonaland West,Kadoma Urban,Kadoma,Violence against civilians,Attack,17,0,1618597723,-18.35,29.9167,1,1
ZWE,2020,2020-04-11,Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-10,Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-07,Bulawayo24,Mashonaland West,Chinhoyi Urban,Chinhoyi,Violence against civilians,Attack,17,0,1618597723,-17.3666,30.2,1,1
ZWE,2020,2020-04-06,Newsday (Zimbabwe),Mashonaland West,Kariba Urban,Kariba,Violence against civilians,Attack,17,0,1618597723,-16.5166,28.8,1,2
ZWE,2020,2020-04-06,Newsday (Zimbabwe),Mashonaland West,Karoi Urban,Karoi,Violence against civilians,Attack,17,0,1618597723,-16.8166,29.6833,1,2
ZWE,2020,2020-04-06,Newsday (Zimbabwe),Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-04,Daily Maverick (South Africa),Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-02,Zimbabwe Human Rights NGO Forum,Bulawayo,Bulawayo,Bulawayo,Violence against civilians,Attack,17,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-04-02,Zimbabwe Human Rights NGO Forum,Mashonaland East,Hwedza,Wedza,Violence against civilians,Attack,17,0,1618597723,-18.6167,31.5667,1,1
ZWE,2020,2020-04-01,Zimbabwe Human Rights NGO Forum,Harare,Harare Urban,Harare,Riots,Violent demonstration,15,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-04-01,Zimbabwe Human Rights NGO Forum,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-03-31,Chronicle (Zimbabwe),Bulawayo,Bulawayo,Bulawayo,Riots,Violent demonstration,15,0,1618597723,-20.15,28.58,1,1
ZWE,2020,2020-03-31,Zimbabwe Human Rights NGO Forum,Masvingo,Masvingo Urban,Masvingo,Violence against civilians,Attack,17,0,1618597723,-20.0833,30.8333,1,1
ZWE,2020,2020-03-31,Zimbabwe Human Rights NGO Forum,Midlands,Zvishavane Urban,Zvishavane,Violence against civilians,Attack,17,0,1618597723,-20.3333,30.0333,1,1
ZWE,2020,2020-03-30,Zimbabwe Human Rights NGO Forum,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-03-30,Bulawayo24,Harare,Harare Urban,Harare,Strategic developments,Change to group/activity,10,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-03-26,Zimbabwe Peace Project,Harare,Harare Urban,Kuwadzana,Violence against civilians,Attack,17,0,1618597723,-17.8252,30.9263,1,1
ZWE,2020,2020-03-19,Zim Eye,Mashonaland Central,Guruve,Guruve,Riots,Mob violence,57,1,1618597723,-16.6666,30.7,1,1
ZWE,2020,2020-03-18,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Strategic developments,Arrests,17,0,1618597723,-20.15,28.58,1,2
ZWE,2020,2020-03-16,Bulawayo24,Matabeleland South,Gwanda Urban,Gwanda,Violence against civilians,Attack,37,0,1618597723,-20.9333,29,1,1
ZWE,2020,2020-03-13,Zim Eye,Harare,Chitungwiza,Chitungwiza,Riots,Mob violence,57,0,1618597723,-18.0127,31.0756,1,2
ZWE,2020,2020-03-10,Zim Eye,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1618597723,-17.8277,31.0534,1,1
ZWE,2020,2020-03-09,Bulawayo24,Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1618597723,-20.15,28.58,1,1
